id_curso,nombre,requisitos
IA_Aplicada,Inteligencia Artificial Aplicada,"mesa,pc"
Calculo_II,Calculo II,mesa
Sist_Organizacionales,Sistemas Organizacionales,mesa
Fisica_Sistemas,Fisica para Sistemas,mesa
Estr_Discretas,Estructuras Discretas de Computacion,mesa
Intro_Programacion,Introduccion a la Programacion,"mesa,pc"
Estadistica_Prob,Estadistica y Probabilidad,mesa
Calculo_III,Calculo III,mesa
Mod_Integracion,Modelacion e Integracion de Sistemas,"mesa,pc"
Costeo_Operaciones,Costeo de Operaciones,mesa
POO,Programacion Orientada a Objetos,"mesa,pc"
Arq_Computadoras,Arquitectura de Computadoras,"mesa,pc"
Estadistica_Aplicada,Estadistica Aplicada,mesa
IO_I,Investigacion de Operaciones I,mesa
Sist_Operativos,Sistemas Operativos,"mesa,pc"
Competencias_Gerenciales,Desarrollo de Competencias Gerenciales,mesa
ED_I,Estructuras de Datos I,"mesa,pc"
Mod_BD,Modelamiento de Base de Datos,"mesa,pc"
Ing_Procesos_Negocio,Ingenieria de Procesos de Negocio,mesa
Redes,Redes de Computadoras,"mesa,pc"
Simulacion,Simulacion,"mesa,pc"
ED_II,Estructuras de Datos II,"mesa,pc"
Prog_Web,Programacion Web,"mesa,pc"
Gestion_Financiera,Gestion Financiera,mesa
Sist_Intel_Empresarial,Sistemas de Inteligencia Empresarial,"mesa,pc"
Gestion_Operaciones,Gestion de Operaciones,mesa
Ing_Software_I,Ingenieria de Software I,"mesa,pc"
Machine_Learning,Aprendizaje de Maquina,"mesa,pc"
Ciberseguridad,Ciberseguridad,"mesa,pc"
Paradigmas_Prog,Paradigmas de Programacion,"mesa,pc"
IoT,Internet de las Cosas,"mesa,pc"
Gestion_BD,Gestion de Base de Datos,"mesa,pc"
Ing_Conocimiento,Ingenieria del Conocimiento,mesa
Sist_Distribuidos,Sistemas Distribuidos,"mesa,pc"
Analitica_Negocios,Analitica de Negocios,mesa
Cloud,Computacion en la Nube,"mesa,pc"
Innovacion_Digital,Innovacion Digital,mesa
Proy_Videojuegos,Proyecto de Videojuegos,"mesa,pc"
HCI,Interaccion Humano Computadora,"mesa,pc"
Arq_TI,Arquitectura de Tecnologias de la Informacion,mesa
DevOps,DevOps,"mesa,pc"
Arq_Software,Arquitectura de Software,"mesa,pc"
Analisis_Algoritmos,Analisis y Diseno de Algoritmos,"mesa,pc"
Redes_Avanzadas,Redes Avanzadas,"mesa,pc"
Prog_Movil,Programacion Movil,"mesa,pc"
Seg_Salud_Ocup,Seguridad Salud Ocupacional y Bienestar Organizacional,mesa
